name,slug,created_at,updated_at,id
Eric Clapton,eric-clapton,2020-02-22 16:15:56.623452,2020-02-22 16:15:56.623452,9086752c-7d9a-4805-8a0a-9084c69282c5
Marc Brownstein,marc-brownstein,2020-02-22 16:15:56.800002,2020-02-22 16:15:56.800002,e2397ce3-857e-425f-925e-1cb30de780d7
The Disco Biscuits,the-disco-biscuits,2020-02-22 16:15:56.877647,2020-02-22 16:15:56.877647,e29db38d-5b63-4e2c-b5bc-8f4ed3fe1c64
Led Zeppelin,led-zeppelin,2020-02-22 16:15:56.949843,2020-02-22 16:15:56.949843,f59c90a1-64c6-4910-916e-81bd2a26052d
Henry Mancini,henry-mancini,2020-02-22 16:15:57.036280,2020-02-22 16:15:57.036280,f55ed0ee-0be3-4471-9848-faa25a7bc1a8
Jon Gutwillig,jon-gutwillig,2020-02-22 16:15:57.087243,2020-02-22 16:15:57.087243,4338604b-38e0-432c-855b-bcd9091d4409
Allman Brothers Band,allman-brothers-band,2020-02-22 16:15:57.127724,2020-02-22 16:15:57.127724,68523afb-2089-4b38-b8ea-758347d5a0b6
The Grateful Dead,the-grateful-dead,2020-02-22 16:15:57.172375,2020-02-22 16:15:57.172375,079d7757-bd68-46ac-990a-6a254e0a9285
Billy Reid,billy-reid,2020-02-22 16:15:57.257972,2020-02-22 16:15:57.257972,425b94d7-42a4-4aa4-b3a4-d6c2aaa6e798
Thelonious Monk,thelonious-monk,2020-02-22 16:15:57.382862,2020-02-22 16:15:57.382862,5722f488-60d2-416d-a5e3-50910aa608ec
Conspirator,conspirator,2020-02-22 16:15:57.535911,2020-02-22 16:15:57.535911,e27cd1c0-0ed7-4c84-ba98-5b5b134e1ed9
The Join,the-join,2020-02-22 16:15:57.643367,2020-02-22 16:15:57.643367,ae89d11b-0538-4597-ac78-2b1fb2ed7948
JJ Cale,jj-cale,2020-02-22 16:15:57.742545,2020-02-22 16:15:57.742545,b5581674-182f-46a7-aaf3-439de8ba53ac
"Abrams, Gutwillig",abrams-gutwillig,2020-02-22 16:15:57.946139,2020-02-22 16:15:57.946139,2abc45ea-3a6e-4137-98d8-6bd4229b942f
Noah Lewis,noah-lewis,2020-02-22 16:15:58.112474,2020-02-22 16:15:58.112474,116dbc85-b83f-4f06-8345-702ee849a282
James Brown,james-brown,2020-02-22 16:15:58.236893,2020-02-22 16:15:58.236893,f5ee35db-3040-4b2a-9167-33e966dfdd9b
"Brownstein, Gutwillig, Hayflick",brownstein-gutwillig-hayflick,2020-02-22 16:15:58.303914,2020-02-22 16:15:58.303914,7c60ef7a-27aa-4632-a6f5-a27d5f23db77
"Brownstein, Gutwillig",brownstein-gutwillig,2020-02-22 16:15:58.432453,2020-02-22 16:15:58.432453,2c0efbda-2ac6-4789-95a4-de69013a617b
Hallucinogen,hallucinogen,2020-02-22 16:15:58.487543,2020-02-22 16:15:58.487543,2a4cf776-7f65-4bc7-8c3e-5797404d9665
Pink Floyd,pink-floyd,2020-02-22 16:15:58.777810,2020-02-22 16:15:58.777810,0613f1fa-e69e-4913-8ca0-f7bb72e5d6ec
The Trammps,the-trammps,2020-02-22 16:15:59.049988,2020-02-22 16:15:59.049988,492d80d3-b814-4f81-8cea-0a09559bfb51
"Gutwillig, O'Brien",gutwillig-o-brien,2020-02-22 16:15:59.104243,2020-02-22 16:15:59.104243,9b974579-8aaa-4842-b49a-070e455b9a87
Sam Altman,sam-altman,2020-02-22 16:15:59.314135,2020-02-22 16:15:59.314135,9ff6cb71-06e9-4fb2-81bf-8a313752e718
Aron Magner,aron-magner,2020-02-22 16:15:59.482480,2020-02-22 16:15:59.482480,a827e021-ab19-4d94-9aa8-6097e0fba28b
Slick Rick,slick-rick,2020-02-22 16:15:59.941211,2020-02-22 16:15:59.941211,0c7e4443-1a02-4b53-904a-490730129645
"Gutwillig, Magner",gutwillig-magner,2020-02-22 16:15:59.997288,2020-02-22 16:15:59.997288,7a01161d-ab82-40e5-99a1-49945cf0be96
Willie Dixon,willie-dixon,2020-02-22 16:16:00.075414,2020-02-22 16:16:00.075414,12a3ba18-9d95-4ff0-93ff-8e8c250d58d0
The New Deal/The Disco Biscuits,the-new-deal-the-disco-biscuits,2020-02-22 16:16:00.143576,2020-02-22 16:16:00.143576,6a561edc-ee55-4638-b407-2cc092bffab8
"Marc Brownstein, Benjy Eisen",marc-brownstein-benjy-eisen,2020-02-22 16:16:00.340230,2020-02-22 16:16:00.340230,9768611c-e5f6-47cb-a2a2-63c27476f317
Rush,rush,2020-02-22 16:16:00.494485,2020-02-22 16:16:00.494485,f1ee3474-a4a0-46c2-aaf5-be0cc9759f46
"Stu Phillips, Glen Larson",stu-phillips-glen-larson,2020-02-22 16:16:00.642592,2020-02-22 16:16:00.642592,9c4a7dd8-c112-4523-967a-f3b92b2b6db2
The Beatles,the-beatles,2020-02-22 16:16:00.757622,2020-02-22 16:16:00.757622,4c05e770-de89-4034-970d-7841d064b9e6
Aron Magner & Allen Aucoin,aron-magner-allen-aucoin,2020-02-22 16:16:00.906186,2020-02-22 16:16:00.906186,4fd3079f-e213-4178-9ca7-0d1b79843c59
Phish,phish,2020-02-22 16:16:01.033838,2020-02-22 16:16:01.033838,1078df0b-4ebf-4d7b-bbf3-5d3d98eeeed5
Trey Anastasio,trey-anastasio,2020-02-22 16:16:01.092810,2020-02-22 16:16:01.092810,b2862b20-2f95-4bd9-a302-01c6ccd82cc9
Mongo Santamaria,mongo-santamaria,2020-02-22 16:16:01.166695,2020-02-22 16:16:01.166695,c8f9a570-b293-4f4b-b245-43f23a70b427
