id,name,slug,legacy_id,created_at,updated_at
11187070-af11-4b54-9780-4ddd29c104c4,The Insane Luchadors,the-insane-luchadors,15,2020-02-22 15:28:20.454589,2020-02-22 15:47:13.799805
530b983d-5e2a-4f87-b8db-c08287e6643a,The Bays,the-bays,18,2020-02-22 15:28:20.454589,2020-02-22 15:47:13.879548
5c1fe977-4755-4be3-9fe6-7413acae80ff,Kitty Splitter,kitty-splitter,14,2020-02-22 15:28:20.454589,2020-02-22 15:47:13.898007
611fe9df-f1c2-4cdd-aa6b-261dc18a837b,TractorBeam,tractorbeam,17,2020-02-22 15:28:20.454589,2020-02-22 15:47:13.918270
7fbefb0a-fb6b-4a06-9f2c-17e38a8f5c6b,The Perfume,the-perfume,9,2020-02-22 15:28:20.454589,2020-02-22 15:47:13.942029
86687f8c-2794-428a-8d23-2116ed849b70,Electron,electron,4,2020-02-22 15:28:20.454589,2020-02-22 15:47:13.975738
8d431790-01d3-42a9-ba44-a75c9b7e548d,Zex Sea,zex-sea,19,2020-02-22 15:28:20.454589,2020-02-22 15:47:13.994609
93c0b716-e887-455a-8275-5b008e439761,The Maui Project,the-maui-project,3,2020-02-22 15:28:20.454589,2020-02-22 15:47:14.015685
adfbd388-3d37-49e7-9c44-4b3bdeab61fa,Sucker Punch,sucker-punch,10,2020-02-22 15:28:20.454589,2020-02-22 15:47:14.037650
c4f46c55-bce6-4a94-9124-8490bb888192,Jon And The Cookie Dusters,jon-and-the-cookie-dusters,5,2020-02-22 15:28:20.454589,2020-02-22 15:47:14.060119
cf74c569-4673-475e-bcea-cd5a1d361dff,Zex Sea,zex-sea-2,20,2020-02-22 15:28:20.454589,2020-02-22 15:47:14.084100
db7f2c5d-2727-41fd-bd6f-e91c74164f09,The Disco Biscuits,the-disco-biscuits,1,2020-02-22 15:28:20.454589,2020-02-22 15:47:14.100990
dc25743e-72ae-48bf-85f4-ac67539c0360,Ah Moshi Moshi,ah-moshi-moshi,7,2020-02-22 15:28:20.454589,2020-02-22 15:47:14.122971
e188edea-3aa3-42a1-86e0-52896dc0b358,JM2,jm2,12,2020-02-22 15:28:20.454589,2020-02-22 15:47:14.147563
e261ffeb-0c40-40da-9e3a-b711f2504494,L. Cool Trio,l-cool-trio,16,2020-02-22 15:28:20.454589,2020-02-22 15:47:14.178734
e769f0a4-7d66-41ad-8fbe-43cf1816a19a,Laverneus Cool,laverneus-cool,11,2020-02-22 15:28:20.454589,2020-02-22 15:47:14.199861
ea004652-74ac-4981-b08d-38701760f363,Santa Cruz Hemp All-Stars,santa-cruz-hemp-all-stars,8,2020-02-22 15:28:20.454589,2020-02-22 15:47:14.219918
ebbfa81e-1aa6-4793-ae79-977b5c3f0042,Zex Sea,zex-sea-3,21,2020-02-22 15:28:20.454589,2020-02-22 15:47:14.245422
fe770909-7743-479e-9d3e-d3419a95b8d3,Conspirator,conspirator,13,2020-02-22 15:28:20.454589,2020-02-22 15:47:14.267419
